Period,Region,State,Year,Colony_Loss,Colony_loss_pct,Diseases_pct,Inventory,Other_causes_pct,Other_Pests_pct,Pesticides_pct,Unknown_Causes_pct,Varroa_Mites_pct
APR THRU JUN,South,ALABAMA,2021,2700,28.00%,0.50%,9500,0.06,0.35,0.02,0.07,0.55
JAN THRU MAR,South,ALABAMA,2015,1800,0.26,0.00%,7000,0.09,0.05,0.02,0.09,0.1
JAN THRU MAR,South,ALABAMA,2018,820,11.00%,1.90%,7500,0.09,0.3,0.15,0.05,0.29
JUL THRU SEP,South,ALABAMA,2018,1700,20.00%,0.70%,8500,0.08,0.69,0.15,0.07,0.78
OCT THRU DEC,South,ALABAMA,2015,610,0.08,0.20%,8000,0.03,0.06,0,0.02,0.03
OCT THRU DEC,South,ALABAMA,2016,610,0.09,0.20%,7000,0.07,0.1,0.02,0.03,0.12
OCT THRU DEC,South,ALABAMA,2021,1100,12.00%,3.50%,9000,0.03,0.45,0.07,0.01,0.61
APR THRU JUN,West,ARIZONA,2018,2600,13.00%,32.80%,19000,0.14,0.07,0.01,0.04,0.74
APR THRU JUN,West,ARIZONA,2021,4300,17.00%,3.60%,26000,0.07,0,0.01,0.07,0.07
APR THRU JUN,West,ARIZONA,2015,5500,0.17,0.50%,33000,0.28,0.32,0.2,0,0.08
JAN THRU MAR,West,ARIZONA,2021,6500,23.00%,6.00%,28000,0.01,0.06,0,0.04,0.07
APR THRU JUN,West,ARIZONA,2022,3100,10.00%,1.30%,31000,0.05,,0,,0.08
OCT THRU DEC,West,ARIZONA,2015,12000,0.31,1.10%,36000,0.01,0.02,0.04,0.16,0.5
JUL THRU SEP,West,ARIZONA,2021,6500,21.00%,0.70%,31000,0.05,0.02,0.07,0.11,0.2
OCT THRU DEC,West,ARIZONA,2019,7000,19.00%,0.40%,34000,0.04,0.02,0.23,0.03,0.54
JAN THRU MAR,West,ARIZONA,2015,4600,0.13,0.10%,35000,0.02,0.21,0,0.03,0.27
JAN THRU MAR,West,ARIZONA,2022,2300,8.00%,3.00%,25000,,0,,0.01,0.15
JUL THRU SEP,West,ARIZONA,2020,8000,27.00%,1.90%,28000,0.09,,0.02,0.12,0.24
APR THRU JUN,West,ARIZONA,2020,1300,5.00%,,26000,0.06,0,0.04,0.01,0.22
JAN THRU MAR,West,ARIZONA,2017,6000,19.00%,3.80%,31000,0.07,0.02,0.02,0.02,0.36
JUL THRU SEP,West,ARIZONA,2016,6000,0.19,0.90%,30000,0.13,0.01,0.14,0.09,0.42
JUL THRU SEP,West,ARIZONA,2019,2000,7.00%,2.70%,26000,0.13,0.1,0.11,0.01,0.29
JAN THRU MAR,West,ARIZONA,2020,8500,27.00%,,29000,0.1,,0,0.09,0.32
JAN THRU MAR,West,ARIZONA,2019,2500,11.00%,6.50%,22000,0.08,0.08,0.16,0,0.26
JUL THRU SEP,West,ARIZONA,2017,4100,16.00%,0.50%,26000,0.12,0,0.01,0.06,0.2
JAN THRU MAR,West,ARIZONA,2018,6000,23.00%,4.60%,25000,0.08,0.04,0.15,0.04,0.36
OCT THRU DEC,West,ARIZONA,2020,4000,15.00%,,25000,0.02,,0.05,0.18,0.23
OCT THRU DEC,West,ARIZONA,2018,5000,19.00%,3.10%,26000,0.07,0.08,,0.03,0.21
APR THRU JUN,West,ARIZONA,2016,3700,0.16,17.20%,22000,0.17,0.48,0.12,0.04,0.27
APR THRU JUN,West,ARIZONA,2017,2600,12.00%,19.70%,22000,0.2,0.16,0.12,0.01,0.58
JAN THRU MAR,West,ARIZONA,2016,4700,0.16,0.00%,30000,0.07,0.03,0.08,0.07,0.34
JUL THRU SEP,West,ARIZONA,2015,6000,0.15,5.40%,40000,0.08,0.25,0.17,0.05,0.54
JUL THRU SEP,West,ARIZONA,2018,8000,26.00%,4.50%,31000,0.15,0.02,0.04,0.28,0.53
OCT THRU DEC,West,ARIZONA,2016,6500,0.21,2.30%,29000,0.04,0.16,0.07,0.03,0.99
OCT THRU DEC,West,ARIZONA,2017,6500,22.00%,2.30%,27000,0.04,0.04,0.02,0,0.62
OCT THRU DEC,West,ARIZONA,2021,5500,24.00%,,23000,0.02,0.35,0.03,0.01,0.67
JUL THRU SEP,South,ARKANSAS,2015,9000,0.30,0.90%,23000,0.02,0.32,0.05,0.01,0.69
JAN THRU MAR,South,ARKANSAS,2018,7500,34.00%,1.00%,22000,0.05,0.1,0.23,0.14,0.21
JAN THRU MAR,South,ARKANSAS,2017,3500,18.00%,0.10%,18000,0.03,0.15,0.01,0.01,0.32
OCT THRU DEC,South,ARKANSAS,2018,6000,19.00%,0.00%,30000,0.05,0.07,0.74,0.02,0.83
JUL THRU SEP,South,ARKANSAS,2017,6000,21.00%,0.00%,29000,0.09,0.09,0.17,0.02,0.61
OCT THRU DEC,South,ARKANSAS,2021,480,3.00%,0.00%,18000,0.01,0.28,0.26,0.01,0.36
JAN THRU MAR,South,ARKANSAS,2020,1600,10.00%,,16500,,0.23,0.03,0.11,0.32
APR THRU JUN,South,ARKANSAS,2021,1600,13.00%,5.70%,12500,0.02,0.22,0.03,0.04,0.42
OCT THRU DEC,South,ARKANSAS,2019,1600,8.00%,1.40%,19000,0.13,0.4,0.08,0.33,0.48
OCT THRU DEC,South,ARKANSAS,2016,2500,0.09,0.00%,28000,0.01,0.05,0.01,0.03,0.21
JUL THRU SEP,South,ARKANSAS,2019,2100,10.00%,6.80%,20000,0.07,0.2,0.51,0.39,0.53
JUL THRU SEP,South,ARKANSAS,2016,1500,0.05,0.40%,32000,0.03,0.09,0.08,0,0.81
JAN THRU MAR,South,ARKANSAS,2019,6500,23.00%,3.30%,28000,0.01,0.02,0.55,0.03,0.2
JUL THRU SEP,South,ARKANSAS,2020,1700,8.00%,3.90%,19000,0.01,0.16,0.14,0.09,0.34
OCT THRU DEC,South,ARKANSAS,2015,2400,0.09,0.10%,23000,0.09,0.1,0.08,0.01,0.38
JAN THRU MAR,South,ARKANSAS,2022,2600,12.00%,0.00%,18500,0.01,0.28,0.13,0.09,0.4
JUL THRU SEP,South,ARKANSAS,2018,2300,8.00%,0.10%,29000,0.01,0.08,0.18,0.01,0.3
APR THRU JUN,South,ARKANSAS,2017,1900,8.00%,1.90%,17000,0.03,0.1,0.04,0.03,0.19
OCT THRU DEC,South,ARKANSAS,2017,7500,30.00%,26.60%,25000,0.24,0.29,0.31,0,0.38
APR THRU JUN,South,ARKANSAS,2015,1900,0.14,7.00%,13500,0.27,0.63,0.23,0.09,0.66
JAN THRU MAR,South,ARKANSAS,2021,4900,23.00%,0.00%,21000,0.04,0.18,0.13,0.03,0.27
APR THRU JUN,South,ARKANSAS,2022,2800,13.00%,2.00%,19000,0.07,0.14,0.11,0.04,0.22
APR THRU JUN,South,ARKANSAS,2016,3400,0.14,5.50%,24000,0.03,0.09,0,0.02,0.85
APR THRU JUN,South,ARKANSAS,2018,2000,13.00%,0.70%,14500,0.17,0.13,0.02,0.13,0.31
APR THRU JUN,South,ARKANSAS,2020,1800,11.00%,5.10%,17000,0.02,0.15,0.25,0.12,0.41
JAN THRU MAR,South,ARKANSAS,2015,1500,0.11,1.50%,13000,0.01,0.11,0.03,0.01,0.18
JAN THRU MAR,South,ARKANSAS,2016,5000,0.19,0.00%,27000,0.02,0.07,0.01,0.08,0.57
JUL THRU SEP,South,ARKANSAS,2021,1800,9.00%,3.20%,20000,0.06,0.33,0.31,0.05,0.42
OCT THRU DEC,South,ARKANSAS,2020,2100,9.00%,1.70%,22000,0.06,0.13,0.13,0.06,0.43
JAN THRU MAR,West,CALIFORNIA,2018,215000,14.00%,4.80%,1150000,0.08,0.11,0.12,0.05,0.41
APR THRU JUN,West,CALIFORNIA,2021,114000,11.00%,7.70%,1090000,0.12,0.12,0.16,0.04,0.42
JAN THRU MAR,West,CALIFORNIA,2020,230000,13.00%,5.00%,1350000,0.05,0.06,0.05,0.04,0.22
JUL THRU SEP,West,CALIFORNIA,2017,67000,10.00%,5.60%,590000,0.1,0.16,0.13,0.04,0.42
APR THRU JUN,West,CALIFORNIA,2015,104000,0.10,7.80%,1040000,0.14,0.22,0.23,0.03,0.51
JUL THRU SEP,West,CALIFORNIA,2021,25000,4.00%,14.20%,650000,0.11,0.17,0.13,0.05,0.4
JAN THRU MAR,West,CALIFORNIA,2015,255000,0.15,3.00%,1440000,0.07,0.07,0.08,0.03,0.25
JAN THRU MAR,West,CALIFORNIA,2016,200000,0.14,9.00%,1130000,0.08,0.15,0.14,0.04,0.38
JUL THRU SEP,West,CALIFORNIA,2019,93000,13.00%,8.70%,650000,0.11,0.12,0.16,0.03,0.49
APR THRU JUN,West,CALIFORNIA,2020,100000,8.00%,3.90%,1200000,0.08,0.05,0.06,0.03,0.34
OCT THRU DEC,West,CALIFORNIA,2021,50000,4.00%,3.70%,640000,0.03,0.05,0.02,0.02,0.15
APR THRU JUN,West,CALIFORNIA,2016,108000,0.09,11.20%,1110000,0.15,0.14,0.14,0.03,0.5
JAN THRU MAR,West,CALIFORNIA,2021,275000,17.00%,1.70%,1180000,0.06,0.06,0.07,0.03,0.3
OCT THRU DEC,West,CALIFORNIA,2016,205000,0.15,8.00%,770000,0.1,0.14,0.09,0.04,0.42
OCT THRU DEC,West,CALIFORNIA,2020,164000,12.00%,7.10%,700000,0.04,0.11,0.05,0.04,0.46
APR THRU JUN,West,CALIFORNIA,2018,110000,9.00%,11.10%,1130000,0.09,0.1,0.14,0.05,0.42
APR THRU JUN,West,CALIFORNIA,2022,82000,8.00%,4.80%,980000,0.2,0.16,0.07,0.04,0.41
JUL THRU SEP,West,CALIFORNIA,2020,69000,10.00%,7.30%,640000,0.08,0.11,0.06,0.04,0.34
JUL THRU SEP,West,CALIFORNIA,2018,73000,10.00%,4.50%,590000,0.12,0.07,0.18,0.04,0.57
JUL THRU SEP,West,CALIFORNIA,2015,76000,0.10,12.50%,730000,0.15,0.2,0.2,0.05,0.4
JAN THRU MAR,West,CALIFORNIA,2022,163000,12.00%,3.30%,1020000,0.04,0.07,0.05,0.04,0.3
JAN THRU MAR,West,CALIFORNIA,2017,195000,13.00%,7.50%,1170000,0.07,0.13,0.09,0.06,0.38
OCT THRU DEC,West,CALIFORNIA,2015,149000,0.12,6.20%,750000,0.11,0.13,0.12,0.07,0.37
OCT THRU DEC,West,CALIFORNIA,2017,155000,13.00%,7.40%,680000,0.17,0.14,0.17,0.06,0.48
APR THRU JUN,West,CALIFORNIA,2017,90000,9.00%,3.10%,980000,0.05,0.08,0.13,0.03,0.38
JAN THRU MAR,West,CALIFORNIA,2019,235000,15.00%,6.40%,1140000,0.09,0.13,0.12,0.06,0.44
JUL THRU SEP,West,CALIFORNIA,2016,82000,0.10,8.50%,740000,0.1,0.18,0.19,0.07,0.42
OCT THRU DEC,West,CALIFORNIA,2018,170000,14.00%,9.80%,680000,0.09,0.17,0.12,0.07,0.44
OCT THRU DEC,West,CALIFORNIA,2019,136000,10.00%,5.20%,700000,0.08,0.11,0.11,0.05,0.41
JUL THRU SEP,West,COLORADO,2020,7000,24.00%,,29000,0.06,0.01,0,0.2,0.23
JUL THRU SEP,West,COLORADO,2015,4500,0.15,2.70%,29000,0.04,0.02,0.17,0.03,0.51
OCT THRU DEC,West,COLORADO,2017,7000,21.00%,0.20%,34000,0.16,0.01,0.2,0.05,0.3
OCT THRU DEC,West,COLORADO,2016,4500,0.15,0.10%,30000,0.13,0.01,0.03,0,0.32
OCT THRU DEC,West,COLORADO,2019,8000,30.00%,0.00%,27000,0.03,0.02,0.15,0.01,0.68
APR THRU JUN,West,COLORADO,2016,1800,0.06,3.30%,9500,0.03,0.01,0.01,0,0.39
APR THRU JUN,West,COLORADO,2022,1400,7.00%,0.60%,8000,0.17,0,,,0.27
JAN THRU MAR,West,COLORADO,2018,4900,23.00%,3.80%,13000,0.14,0.01,0.01,0.02,0.32
JUL THRU SEP,West,COLORADO,2018,5000,14.00%,5.60%,34000,0.09,0.17,0.03,0.05,0.73
OCT THRU DEC,West,COLORADO,2020,5000,26.00%,,19000,0.01,0,0,0.02,0.15
JAN THRU MAR,West,COLORADO,2022,540,6.00%,3.80%,3800,0.03,0,0.01,0.03,0.04
JUL THRU SEP,West,COLORADO,2016,6500,0.18,16.80%,33000,0.11,0.22,0.25,0,0.49
JUL THRU SEP,West,COLORADO,2017,4300,10.00%,2.60%,35000,0.08,0.01,0.09,0.01,0.53
JAN THRU MAR,West,COLORADO,2021,700,4.00%,0.00%,3000,0.01,0,0,0.07,0.08
OCT THRU DEC,West,COLORADO,2018,3500,12.00%,1.00%,30000,0.06,0.06,,0.01,0.73
OCT THRU DEC,West,COLORADO,2015,2500,0.10,21.20%,24000,0.08,0.24,0.2,0.02,0.48
APR THRU JUN,West,COLORADO,2018,3000,11.00%,12.70%,16500,0.04,,0.04,0.01,0.42
JUL THRU SEP,West,COLORADO,2019,9500,26.00%,4.80%,33000,0.09,0.13,0.1,0.01,0.8
JAN THRU MAR,West,COLORADO,2019,320,4.00%,0.00%,5000,0.03,0,0,0.01,0.11
OCT THRU DEC,West,COLORADO,2021,1600,12.00%,0.00%,12000,0.03,,,0.04,0.05
JUL THRU SEP,West,COLORADO,2021,1700,8.00%,2.90%,22000,0.06,,0,0.01,0.08
JAN THRU MAR,West,COLORADO,2016,750,0.09,0.50%,5000,0.03,0.04,0,0,0.03
APR THRU JUN,West,COLORADO,2017,4500,15.00%,5.30%,16500,0.05,0.01,0.03,0,0.31
APR THRU JUN,West,COLORADO,2021,8500,34.00%,0.00%,17000,0.01,,,0.03,0.56
APR THRU JUN,West,COLORADO,2015,1900,0.08,4.60%,12000,0.03,0.02,0.03,0.07,0.39
APR THRU JUN,West,COLORADO,2020,2100,8.00%,,16500,0.01,,0,0.03,0.35
JAN THRU MAR,West,COLORADO,2015,1500,0.12,1.80%,3500,0.03,0.01,0.01,0.06,0.15
JAN THRU MAR,West,COLORADO,2017,1100,5.00%,,9500,0.03,,0.01,0,0.17
JAN THRU MAR,West,COLORADO,2020,670,5.00%,,4500,0.11,0,,0.02,0.21
JAN THRU MAR,Northeast,CONNECTICUT,2017,380,12.00%,0.00%,3100,0.06,0.02,0,0.06,0.52
OCT THRU DEC,Northeast,CONNECTICUT,2015,210,0.07,0.50%,3200,0.03,0.02,0.01,0.02,0.11
JAN THRU MAR,Northeast,CONNECTICUT,2015,870,0.22,0.00%,3900,0.21,0.01,0,0.02,0.03
OCT THRU DEC,Northeast,CONNECTICUT,2021,180,5.00%,0.60%,4000,0.01,0.01,0.01,0.03,0.21
JUL THRU SEP,Northeast,CONNECTICUT,2017,130,4.00%,0.10%,3500,0.13,0.02,0,0,0.25
OCT THRU DEC,Northeast,CONNECTICUT,2020,500,11.00%,0.10%,4300,0.04,0.01,0,0.08,0.49
APR THRU JUN,Northeast,CONNECTICUT,2016,100,0.04,0.50%,2500,0.04,0.01,0,0.01,0.09
APR THRU JUN,Northeast,CONNECTICUT,2018,120,3.00%,0.40%,3600,0.01,0.01,0.01,0,0.11
JAN THRU MAR,Northeast,CONNECTICUT,2018,140,5.00%,0.00%,2900,0.08,0.01,0.01,0.04,0.15
JAN THRU MAR,Northeast,CONNECTICUT,2022,420,11.00%,1.40%,4000,0.04,0.02,,0.01,0.1
JAN THRU MAR,Northeast,CONNECTICUT,2021,800,19.00%,0.00%,4200,0.02,0.04,0.01,0.01,0.18
OCT THRU DEC,Northeast,CONNECTICUT,2019,300,8.00%,2.40%,3800,0.02,0.11,0,0.02,0.22
JUL THRU SEP,Northeast,CONNECTICUT,2020,300,6.00%,0.00%,4700,0.04,0.01,0,0,0.2
APR THRU JUN,Northeast,CONNECTICUT,2020,30,1.00%,0.00%,3900,0,0.02,0,0.01,0.15
APR THRU JUN,Northeast,CONNECTICUT,2022,30,1.00%,,4100,0.01,,,,0.02
JUL THRU SEP,Northeast,CONNECTICUT,2019,200,5.00%,2.40%,4400,0.04,0.07,0,0.01,0.24
OCT THRU DEC,Northeast,CONNECTICUT,2018,220,6.00%,2.30%,3500,0.04,0.04,0.01,0.02,0.13
JUL THRU SEP,Northeast,CONNECTICUT,2021,120,3.00%,0.70%,4200,0.02,0.01,0.04,0.06,0.16
JAN THRU MAR,Northeast,CONNECTICUT,2016,270,0.10,0.20%,2700,0.08,0.01,0,0.02,0.12
JUL THRU SEP,Northeast,CONNECTICUT,2016,270,0.09,0.00%,3100,0.05,0.02,0,0.01,0.19
APR THRU JUN,Northeast,CONNECTICUT,2021,60,2.00%,0.10%,3800,0.01,0.06,,0,0.17
JUL THRU SEP,Northeast,CONNECTICUT,2015,50,0.01,0.40%,3700,0.08,0.01,0.02,0,0.39
APR THRU JUN,Northeast,CONNECTICUT,2015,80,0.03,1.90%,3000,0.01,0,0.01,0.01,0.1
APR THRU JUN,Northeast,CONNECTICUT,2017,140,5.00%,0.00%,3000,0.02,0,0.01,0.01,0.09
JAN THRU MAR,Northeast,CONNECTICUT,2019,270,9.00%,0.00%,3100,0.04,0.01,0,0.02,0.1
JAN THRU MAR,Northeast,CONNECTICUT,2020,330,9.00%,,3700,0.03,0.03,0,0.03,0.11
JUL THRU SEP,Northeast,CONNECTICUT,2018,130,4.00%,0.00%,3200,0.03,0,0.01,0.01,0.13
OCT THRU DEC,Northeast,CONNECTICUT,2016,240,0.08,1.10%,3100,0.06,0.07,0.01,0.03,0.15
OCT THRU DEC,Northeast,CONNECTICUT,2017,330,8.00%,0.00%,4000,0.02,0.03,0.01,0.02,0.36
APR THRU JUN,South,FLORIDA,2022,34000,11.00%,5.90%,290000,0.13,0.16,0.09,0.07,0.28
OCT THRU DEC,South,FLORIDA,2018,43000,15.00%,9.00%,240000,0.08,0.22,0.14,0.07,0.47
OCT THRU DEC,South,FLORIDA,2019,30000,10.00%,7.80%,270000,0.08,0.26,0.12,0.05,0.44
JAN THRU MAR,South,FLORIDA,2015,42000,0.13,0.80%,305000,0.05,0.14,0.09,0.04,0.22
JAN THRU MAR,South,FLORIDA,2018,39000,15.00%,4.50%,245000,0.06,0.15,0.09,0.16,0.32
APR THRU JUN,South,FLORIDA,2020,40000,13.00%,3.40%,310000,0.06,0.16,0.06,0.08,0.33
JUL THRU SEP,South,FLORIDA,2018,30000,14.00%,4.20%,197000,0.14,0.21,0.08,0.1,0.35
OCT THRU DEC,South,FLORIDA,2015,37000,0.14,2.50%,220000,0.03,0.18,0.07,0.04,0.27
JUL THRU SEP,South,FLORIDA,2016,25000,0.11,2.70%,200000,0.09,0.23,0.1,0.02,0.45
JAN THRU MAR,South,FLORIDA,2022,24000,8.00%,3.70%,295000,0.06,0.13,0.1,0.08,0.39
OCT THRU DEC,South,FLORIDA,2020,29000,10.00%,10.40%,240000,0.02,0.22,0.2,0.08,0.46
JUL THRU SEP,South,FLORIDA,2020,29000,13.00%,12.80%,220000,0.08,0.2,0.15,0.11,0.42
APR THRU JUN,South,FLORIDA,2018,56000,20.00%,9.60%,250000,0.1,0.28,0.16,0.21,0.45
JAN THRU MAR,South,FLORIDA,2017,30000,11.00%,1.50%,260000,0.06,0.15,0.14,0.18,0.38
OCT THRU DEC,South,FLORIDA,2021,38000,12.00%,5.90%,255000,0.09,0.19,0.09,0.14,0.29
APR THRU JUN,South,FLORIDA,2021,33000,11.00%,4.30%,280000,0.06,0.23,0.1,0.08,0.43
APR THRU JUN,South,FLORIDA,2017,35000,14.00%,6.10%,245000,0.07,0.14,0.09,0.19,0.37
JAN THRU MAR,South,FLORIDA,2019,46000,15.00%,5.50%,300000,0.07,0.25,0.23,0.06,0.47
APR THRU JUN,South,FLORIDA,2015,35000,0.16,2.70%,210000,0.14,0.26,0.18,0.05,0.44
APR THRU JUN,South,FLORIDA,2016,29000,0.12,10.00%,240000,0.1,0.23,0.12,0.02,0.48
JAN THRU MAR,South,FLORIDA,2016,40000,0.14,0.40%,275000,0.02,0.06,0.05,0.01,0.24
JAN THRU MAR,South,FLORIDA,2020,30000,10.00%,5.50%,295000,0.09,0.14,0.05,0.11,0.28
JAN THRU MAR,South,FLORIDA,2021,31000,10.00%,5.60%,300000,0.06,0.12,0.07,0.03,0.35
JUL THRU SEP,South,FLORIDA,2015,36000,0.16,6.70%,164000,0.22,0.22,0.23,0.03,0.4
JUL THRU SEP,South,FLORIDA,2017,39000,22.00%,3.70%,176000,0.11,0.13,0.06,0.22,0.43
JUL THRU SEP,South,FLORIDA,2019,20000,8.00%,6.30%,210000,0.12,0.21,0.18,0.11,0.45
JUL THRU SEP,South,FLORIDA,2021,39000,15.00%,7.10%,235000,0.11,0.21,0.14,0.09,0.43
OCT THRU DEC,South,FLORIDA,2016,41000,0.14,7.70%,255000,0.14,0.27,0.17,0.07,0.31
OCT THRU DEC,South,FLORIDA,2017,50000,21.00%,7.50%,180000,0.08,0.17,0.1,0.26,0.41
JUL THRU SEP,South,GEORGIA,2015,13000,0.12,3.60%,108000,0.09,0.16,0.21,0.04,0.48
JAN THRU MAR,South,GEORGIA,2015,14500,0.14,3.30%,104000,0.05,0.05,0.03,0.11,0.06
JUL THRU SEP,South,GEORGIA,2016,13000,0.13,2.40%,102000,0.08,0.16,0.12,0.05,0.31
JUL THRU SEP,South,GEORGIA,2017,15500,13.00%,2.30%,121000,0.15,0.18,0.14,0.07,0.48
OCT THRU DEC,South,GEORGIA,2015,18000,0.15,5.30%,110000,0.04,0.14,0.05,0.01,0.44
JUL THRU SEP,South,GEORGIA,2018,17000,12.00%,2.40%,134000,0.06,0.2,0.28,0.07,0.5
JAN THRU MAR,South,GEORGIA,2022,14000,12.00%,0.60%,118000,0.06,0.17,0.05,0.03,0.41
OCT THRU DEC,South,GEORGIA,2020,30000,17.00%,1.80%,165000,0.02,0.13,0.08,0.07,0.36
OCT THRU DEC,South,GEORGIA,2019,20000,15.00%,5.60%,119000,0.03,0.18,0.09,0.04,0.34
JUL THRU SEP,South,GEORGIA,2019,13000,11.00%,1.60%,116000,0.17,0.19,0.26,0.05,0.53
APR THRU JUN,South,GEORGIA,2015,23000,0.19,2.90%,114000,0.12,0.18,0.29,0.04,0.53
APR THRU JUN,South,GEORGIA,2017,12500,9.00%,1.00%,130000,0.07,0.06,0.07,0.03,0.34
JAN THRU MAR,South,GEORGIA,2021,20000,17.00%,8.90%,120000,0.04,0.14,0.02,0.05,0.48
APR THRU JUN,South,GEORGIA,2018,18000,13.00%,13.80%,131000,0.31,0.26,0.15,0.1,0.53
APR THRU JUN,South,GEORGIA,2022,25000,19.00%,1.40%,132000,0.08,0.09,0.06,0.06,0.35
JAN THRU MAR,South,GEORGIA,2016,15500,0.16,2.10%,100000,0.03,0.08,0.21,0.04,0.32
JAN THRU MAR,South,GEORGIA,2020,14500,12.00%,,115000,,0.03,,0.08,0.51
JAN THRU MAR,South,GEORGIA,2018,25000,18.00%,0.90%,134000,0.27,0.19,0.15,0.02,0.4
OCT THRU DEC,South,GEORGIA,2017,21000,14.00%,12.30%,125000,0.04,0.15,0.15,0.05,0.57
APR THRU JUN,South,GEORGIA,2021,21000,16.00%,5.20%,134000,0.05,0.14,0.03,0.06,0.45
APR THRU JUN,South,GEORGIA,2020,10000,7.00%,6.90%,145000,0.08,0.2,0.03,0.13,0.48
APR THRU JUN,South,GEORGIA,2016,11000,0.10,2.00%,108000,0.12,0.28,0.28,0.03,0.59
JAN THRU MAR,South,GEORGIA,2017,14000,11.00%,0.20%,123000,0.04,0.07,0.03,0.02,0.35
OCT THRU DEC,South,GEORGIA,2016,11000,0.10,3.70%,96000,0.04,0.09,0.08,0.03,0.44
JUL THRU SEP,South,GEORGIA,2020,23000,14.00%,3.50%,150000,0.05,0.23,0.03,0.13,0.5
JAN THRU MAR,South,GEORGIA,2019,14500,11.00%,7.40%,120000,0.11,0.18,0.1,0.05,0.7
JUL THRU SEP,South,GEORGIA,2021,22000,18.00%,4.80%,116000,0.13,0.32,0.12,0.08,0.64
OCT THRU DEC,South,GEORGIA,2018,19500,12.00%,9.20%,148000,0.06,0.17,0.07,0.08,0.41
OCT THRU DEC,South,GEORGIA,2021,24000,18.00%,0.50%,131000,0.06,0.25,0.08,0.07,0.41
JUL THRU SEP,West,HAWAII,2015,2700,0.19,0.10%,14500,0.03,0.81,0,0,0.78
APR THRU JUN,West,HAWAII,2022,420,2.00%,4.60%,22000,0.01,0.61,0,,0.63
OCT THRU DEC,West,HAWAII,2016,970,0.07,0.00%,13500,0,0.41,0,0,0.4
JAN THRU MAR,West,HAWAII,2018,1600,9.00%,0.10%,17000,0,0.85,0,,0.83
OCT THRU DEC,West,HAWAII,2020,2700,12.00%,,22000,0.03,0.65,0,0,0.57
OCT THRU DEC,West,HAWAII,2019,1300,8.00%,0.20%,17000,0,0.62,0.01,0,0.44
OCT THRU DEC,West,HAWAII,2018,940,6.00%,,16000,0,0.83,0,0,0.71
JAN THRU MAR,West,HAWAII,2020,1800,11.00%,,16000,,0.61,0,,0.75
JAN THRU MAR,West,HAWAII,2016,280,0.02,0.00%,15000,0.01,0.02,0,0,0
OCT THRU DEC,West,HAWAII,2017,130,1.00%,0.10%,15000,0,0.66,0,0,0.57
JUL THRU SEP,West,HAWAII,2016,600,0.04,0.10%,13500,0,0.75,0.01,0,0.68
